;;min;max;0.2
$61_1$;pc_StageKcFactor1;0.32;0.48;0.4
$61_2$;pc_StageKcFactor2;0.8;1.2;1
$61_3$;pc_StageKcFactor3;0.8;1.2;1
$61_4$;pc_StageKcFactor4;0.96;1.44;1.2
$61_5$;pc_StageKcFactor5;1;1.5;1.25
$61_6$;pc_StageKcFactor6;1;1.5;1.25
$61_7$;pc_StageKcFactor7;0.8;1.2;1
$62_1$;pc_DroughtStressThreshold1;0.4;0.6;0.5
$62_2$;pc_DroughtStressThreshold2;0.4;0.6;0.5
$62_3$;pc_DroughtStressThreshold3;0.4;0.6;0.5
$62_4$;pc_DroughtStressThreshold4;0.4;0.6;0.5
$62_5$;pc_DroughtStressThreshold5;0.48;0.72;0.6
$62_6$;pc_DroughtStressThreshold6;0.48;0.72;0.6
$62_7$;pc_DroughtStressThreshold7;0.16;0.24;0.2
$65_1$;pc_SpecificLeafArea1;0.0016;0.0024;0.002
$65_2$;pc_SpecificLeafArea2;0.0016;0.0024;0.002
$65_3$;pc_SpecificLeafArea3;0.0016;0.0024;0.002
$65_4$;pc_SpecificLeafArea4;0.0016;0.0024;0.002
$65_5$;pc_SpecificLeafArea5;0.0016;0.0024;0.002
$65_6$;pc_SpecificLeafArea6;0.0016;0.0024;0.002
$65_7$;pc_SpecificLeafArea7;0.00096;0.00144;0.0012
$66_1$ ;pc_StageMaxRootNConcentration1;0.016;0.024;0.02
$66_2$ ;pc_StageMaxRootNConcentration2;0.016;0.024;0.02
$66_3$ ;pc_StageMaxRootNConcentration3;0.0096;0.0144;0.012
$66_4$ ;pc_StageMaxRootNConcentration4;0.008;0.012;0.01
$66_5$ ;pc_StageMaxRootNConcentration5;0.008;0.012;0.01
$66_6$ ;pc_StageMaxRootNConcentration6;0.008;0.012;0.01
$66_7$ ;pc_StageMaxRootNConcentration7;0.008;0.012;0.01
$67_1$;pc_CriticalOxygenContent1;0.032;0.048;0.04
$67_2$;pc_CriticalOxygenContent2;0.016;0.024;0.02
$67_3$;pc_CriticalOxygenContent3;0.016;0.024;0.02
$67_4$;pc_CriticalOxygenContent4;0.016;0.024;0.02
$67_5$;pc_CriticalOxygenContent5;0.016;0.024;0.02
$67_6$;pc_CriticalOxygenContent6;0.016;0.024;0.02
$67_7$;pc_CriticalOxygenContent7;0.032;0.048;0.04
